dbi_id,identifier_hash,subject_name,subject_type,proposed_relationship_entity_id,proposed_entity_name,first_year,last_year,return_count,return_types,drake_return_ids,tax_years,source_contact_ids,source_record_ids,source_contact_count,provenance_form,provenance_covered_contacts,missing_source_contact_ids,missing_years,coverage_numerator,coverage_denominator,complete_coverage,document_evidence_count,document_occurrences,document_years,document_covers_missing_year,contradiction_count,expected_esl_inserts,expected_trust_level,expected_confirmation_source,expected_evidence_method,dbi_row_sha256,target_entity_sha256
569,747d0c794a3f287a2ddb33d619c7d1d8b91aeee1d117cfdc1ef174118441a2ef,rst construction llc,business_entity,57,RST Construction LLC,2021,2025,5,1120S,785|1522|2300|3117|130,2021|2022|2023|2024|2025,8147|9301|10522|11813|12929,2021:785:taxpayer|2022:1522:taxpayer|2023:2300:taxpayer|2024:3117:taxpayer|2025:130:taxpayer,5,details.source_contact_ids,10522|11813|12929,8147|9301,2021|2022,3,5,False,11,65,2021|2022|2024,True,0,5,identifier_verified,machine,drake_entity_provenance,76ca11ddf0d342f2b368b065a0a2a229946a9dd31248e1b43f62e3f52a648591,050150911495953d79819ee1fc52bc7d0a8895095ab921334ff3679c575b30ba
576,874e4df20b374d8a3286dc183ead0666015546e93fdd3341739debccf3cf3c11,bill henry plumbing,business_entity,24,BILL HENRY PLUMBING,2021,2024,4,1120S,783|1520|2298|3115,2021|2022|2023|2024,8145|9299|10520|11811,2021:783:taxpayer|2022:1520:taxpayer|2023:2298:taxpayer|2024:3115:taxpayer,4,details.source_contact_ids,10520|11811,8145|9299,2021|2022,2,4,False,3,24,2022|2023,True,0,4,identifier_verified,machine,drake_entity_provenance,d55f2eea1a3e7704cd22845193244a90f81a39eba13ec730aa1cfd1cb0e3b188,a2268d1d3f38bfd317b01cc80e70d95e3f14816050a7c4a0ba9c3005e4a52791
579,89f13b3061b55983d3b00e88e99ce76f6b325512a98b9c1167afd41d90874fcc,c2 business solutions llc,business_entity,33,C2 BUSINESS SOLUTIONS LLC,2021,2025,5,1120S,1210|1960|2789|3539|480,2021|2022|2023|2024|2025,8811|9988|11287|12470|13479,2021:1210:taxpayer|2022:1960:taxpayer|2023:2789:taxpayer|2024:3539:taxpayer|2025:480:taxpayer,5,details.source_contact_ids,11287|12470|13479,8811|9988,2021|2022,3,5,False,9,79,2019|2021|2022|2023,True,0,5,identifier_verified,machine,drake_entity_provenance,471003a141d84e9ba760df043e82d8a0c38b31c128a864d6f8a25dc8cf4498f3,2ebb3b5ad4fe10eea365bb3cbe067a42c2a94652b4f8befa15bf521018ed5c84
583,93e69b789b5175bfc1fdba6758acc68a1ce77238a8e3a9b8db916b89d31c63fb,murray clinic,business_entity,45,Murray Clinic,2022,2023,2,1120S,1682|2475,2022|2023,9552|10794,2022:1682:taxpayer|2023:2475:taxpayer,2,details.source_contact_ids,10794,9552,2022,1,2,False,2,8,2022,True,0,2,identifier_verified,machine,drake_entity_provenance,604c85ee5d028ec54bd9e4682c7167d4c83be2c9bfd48485098fb06deb7e4943,d121f2602a7698a652e4ea85092ad7c7fce3d8c4829133aa29ca6c3496022c9e
585,95834c30bd9ce69d1d422ea1fff3258e3e6452afc2489a3e42b401743a8ba823,4459 llc,business_entity,3,4459 LLC,2021,2023,3,1120S,917|1655|2447,2021|2022|2023,8357|9512|10754,2021:917:taxpayer|2022:1655:taxpayer|2023:2447:taxpayer,3,details.source_contact_ids,10754,8357|9512,2021|2022,1,3,False,3,25,2021,True,0,3,identifier_verified,machine,drake_entity_provenance,45b142cbc4d1b198003202b6594604a99c8573e466cb3237515ac9dfd394c067,36d3c2c0abc56ba90051269163ace5da5d52f9bb66b2bf565a9cac30a3452346
586,96fd58bcb70fff8b630e9123521689dfa5de22f82547608b54e3fc819e68f1d1,church and main llc,business_entity,39,CHURCH AND MAIN LLC,2022,2025,4,1120S,1688|2481|3269|253,2022|2023|2024|2025,9560|10803|12050|13122,2022:1688:taxpayer|2023:2481:taxpayer|2024:3269:taxpayer|2025:253:taxpayer,4,details.source_contact_ids,10803|12050|13122,9560,2022,3,4,False,2,14,2022,True,0,4,identifier_verified,machine,drake_entity_provenance,b5d5721370eca3e23254cad809e8716e743bf939d3014c0bc11cbc9683c2eb12,80a57cd21834c48318826c4489b76e2aee95512d9f591f9246f45211337a2193
588,99807781e87fbcccfb1649f19c6745d3fd632374e90bc29b9a9c1850bd08c2a3,lavaca media inc,business_entity,88,LAVACA MEDIA INC,2022,2025,4,1120S,1814|2625|3390|350,2022|2023|2024|2025,9753|11021|12234|13273,2022:1814:taxpayer|2023:2625:taxpayer|2024:3390:taxpayer|2025:350:taxpayer,4,details.source_contact_ids,11021|12234|13273,9753,2022,3,4,False,1,14,2024,False,0,4,identifier_verified,machine,drake_entity_provenance,eec538ce2af17edd5c156529ff25beb346e343e40f204f8d288d38b1d625c43c,e803557a175d25fe5338556ea7f16b34cc2895f05c98a7884d57276e27769bf9
590,9d234beece385d7d297b6ea22ad1c11db538414b692ad3f31c391c46ed507bb7,bloom west end llc,business_entity,26,BLOOM WEST END LLC,2021,2025,7,1065|1120S,999|1752|1751|2554|2555|3335|305,2021|2022|2023|2024|2025,8483|9658|9659|10912|10913|12150|13201,2021:999:taxpayer|2022:1751:taxpayer|2022:1752:taxpayer|2023:2554:taxpayer|2023:2555:taxpayer|2024:3335:taxpayer|2025:305:taxpayer,7,details.source_contact_ids,8483|9658|10912|10913|12150|13201,9659,2022,6,7,False,3,12,2022|2023,True,0,7,identifier_verified,machine,drake_entity_provenance,4ea2641b2c0f77d264845c63f278b434fd5ceb85a8d8c5cacd354bb94c858d83,e503c7f3885fac28389a52a6fd212afb4f444ec3fcc4a587e26bd26ed19f9239
592,a2777f8c4b43b5ae93fe17d79df98d915ea868962ae18248c1c82bf25ee69aa4,bookconductors llc,business_entity,30,BOOKCONDUCTORS LLC,2021,2023,3,1120S,788|1525|2303,2021|2022|2023,8152|9305|10526,2021:788:taxpayer|2022:1525:taxpayer|2023:2303:taxpayer,3,details.source_contact_ids,10526,8152|9305,2021|2022,1,3,False,16,133,2018|2019|2020|2021|2022,True,0,3,identifier_verified,machine,drake_entity_provenance,7e91526dfdcbaa5ee923b70d927ae0735997b429ef068936db0cd8a0d14bd70d,04b3524d0f596f79df83937604c9bd899f445d2f9c05521d75ee7f8d11933e57
598,b1a71bd8aef80ddbb7d9f557c39834f21cb11fce6d3f3f33ff199a5bfcbbc495,white willow homestead llc,business_entity,82,WHITE WILLOW HOMESTEAD LLC,2021,2025,5,1120S,729|1466|2240|3074|96,2021|2022|2023|2024|2025,8063|9222|10436|11750|12874,2021:729:taxpayer|2022:1466:taxpayer|2023:2240:taxpayer|2024:3074:taxpayer|2025:96:taxpayer,5,details.source_contact_ids,10436|11750|12874,8063|9222,2021|2022,3,5,False,8,54,2021|2022|2023,True,0,5,identifier_verified,machine,drake_entity_provenance,c4ee61e9e966a7d34aac163cdb3ea068a59c2d92bba65f58a1245cbf52b8b04d,bafc8fb429ad7d1713e716bad5d66fca4a7171a65a0504e2c75d6b475a6a20d3
600,b31808dc431dc3252f7fbc2d46312a36787b8e48219f9e18f20566c56f611dc2,paragon yard and shed llc,business_entity,100,PARAGON YARD AND SHED LLC,2022,2023,2,1120S,2083|2937,2022|2023,10191|11528,2022:2083:taxpayer|2023:2937:taxpayer,2,details.source_contact_ids,11528,10191,2022,1,2,False,9,43,2022,True,0,2,identifier_verified,machine,drake_entity_provenance,39785e6a77a031e0c89c5a70110d6c0eee12da620802272597a168c45765b2f0,8b971a2a4c459d6b6234ee60180513108c5396db82f664c8cfb46084ea834b1b
601,b5ff391b2c1d7806da4f5c1f864bbee0cdeb4df64e74c76576f5eb89d9c629f6,comic sans assassin llc,business_entity,21,COMIC SANS ASSASSIN LLC,2022,2025,4,1120S,1613|2402|3200|191,2022|2023|2024|2025,9442|10679|11943|13025,2022:1613:taxpayer|2023:2402:taxpayer|2024:3200:taxpayer|2025:191:taxpayer,4,details.source_contact_ids,10679|11943|13025,9442,2022,3,4,False,5,31,2022|2023,True,0,4,identifier_verified,machine,drake_entity_provenance,9b6e99bce26c48031f071edbae04bcd8e1154d5178f6f1532127a44e35e8467b,b019e37c522aca907452901c3e379c8e1d2824d7a4ce390bee2ee156339c3641
602,b72ca7a1a35bd215da44a66aced28b35ca65e8a2df46450484653d2e793893dc,stlp inc,business_entity,110,STLP INC,2021,2023,3,1120S,643|1386|2138,2021|2022|2023,7932|9095|10274,2021:643:taxpayer|2022:1386:taxpayer|2023:2138:taxpayer,3,details.source_contact_ids,10274,7932|9095,2021|2022,1,3,False,18,165,2020|2021|2022,True,0,3,identifier_verified,machine,drake_entity_provenance,87085bf5633d0c35922e8afecac44fad85985a4f605fb1d319494d2cf21a9512,e17923a9a056e9e5851b9aeb39a452bb9b689f4bf9f1148984a8c9a9b5894d9d
611,ce77dc2efea329d0426b4bcb07c1eb8220721c27c713fe05b0fc971e070f58f0,crossbow services llc,business_entity,61,Crossbow Services LLC,2021,2025,5,1120S,803|1540|2322|3134|141,2021|2022|2023|2024|2025,8174|9325|10553|11838|12945,2021:803:taxpayer|2022:1540:taxpayer|2023:2322:taxpayer|2024:3134:taxpayer|2025:141:taxpayer,5,details.source_contact_ids,10553|11838|12945,8174|9325,2021|2022,3,5,False,17,136,2019|2020|2021|2022|2023|2024,True,0,5,identifier_verified,machine,drake_entity_provenance,5a65e15dedf5b2b338219726af5a9de6d59ed528facf8fe2d8eb538d300f438b,0a2663dd6bf1dc9da2f1a5bc15b69a6b83151de8f8d415f07b30e86acf540545
616,d7645b8524b3e53188d4427b7174c88bea68d31c4dd701b3310c580077859767,roanoke music group llc,business_entity,75,ROANOKE MUSIC GROUP LLC,2021,2025,5,1120S,660|1404|2161|3007|45,2021|2022|2023|2024|2025,7957|9123|10310|11640|12787,2021:660:taxpayer|2022:1404:taxpayer|2023:2161:taxpayer|2024:3007:taxpayer|2025:45:taxpayer,5,details.source_contact_ids,10310|11640|12787,7957|9123,2021|2022,3,5,False,10,58,2019|2021|2022|2023,True,0,5,identifier_verified,machine,drake_entity_provenance,714b21eca83668d7c976c3680443efae4ab5a73142d06d0aa1f8fe6b877bc228,845cb1a88ab478b5000fa9fe392f2f02a38511db4b4748bc9e677d93e6bd3ad5
629,eedc0e2954cec275c9f75f711ca1643e039e2e6033e0fe0e152186316e2c4078,smith communications,business_entity,50,SMITH COMMUNICATIONS,2021,2023,3,1120S,1193|1942|2768,2021|2022|2023,8785|9959|11255,2021:1193:taxpayer|2022:1942:taxpayer|2023:2768:taxpayer,3,details.source_contact_ids,11255,8785|9959,2021|2022,1,3,False,16,88,2019|2020|2021|2022,True,0,3,identifier_verified,machine,drake_entity_provenance,416acdd70b6fe857b654221503b373031d3edfe9886c70a7a17ae35ee1df3974,db7d7fb0054a7c041adcf1b07ba137983ecebb9ef04f49ee1f99b03cb4f74aa2
632,f57c5889c1426079d76f0fffa0bc1649bcff1a12aefb17a0cc6cb3421c311976,calhoun construction llc,business_entity,37,Calhoun Construction LLC,2022,2025,4,1120S,1645|2436|3228|215,2022|2023|2024|2025,9494|10734|11988|13064,2022:1645:taxpayer|2023:2436:taxpayer|2024:3228:taxpayer|2025:215:taxpayer,4,details.source_contact_ids,10734|11988|13064,9494,2022,3,4,False,2,25,2023|2024,False,0,4,identifier_verified,machine,drake_entity_provenance,f20ca624199689950a43e75cc6ef01368998e9b9fb007213e5c5ec3895978b4b,7004f0a6730cd8958d7074483d01439127cd6e79b80a2ff50f611956d476ee63
633,f6bf44865bf74d6881d10f170e5434bf78f052958cae86c9036d201bfc6bffa7,custom plumbing inc,business_entity,62,CUSTOM PLUMBING INC,2021,2025,5,1120S,1076|1835|2648|3409|368,2021|2022|2023|2024|2025,8599|9785|11057|12264|13300,2021:1076:taxpayer|2022:1835:taxpayer|2023:2648:taxpayer|2024:3409:taxpayer|2025:368:taxpayer,5,details.source_contact_ids,11057|12264|13300,8599|9785,2021|2022,3,5,False,8,83,2020|2021|2022|2023,True,0,5,identifier_verified,machine,drake_entity_provenance,cc301eb27e1893de4d7143b2ebaffe8854ae5237b390f55b8cc530f3af4b37a5,86fdaf6d7dd54628260d7f337e376cf80819c5c7a0176af19538085ff54db3b9
636,fb126f24232c543c0632d46de756a67c68f3ff95f991242e975ae4aaeb5041d6,keen business brokers inc,business_entity,31,KEEN BUSINESS BROKERS INC,2022,2024,3,1120S,2021|2862|3606,2022|2023|2024,10092|11409|12583,2022:2021:taxpayer|2023:2862:taxpayer|2024:3606:taxpayer,3,details.source_contact_ids,11409|12583,10092,2022,2,3,False,1,13,2022,True,0,3,identifier_verified,machine,drake_entity_provenance,3b07d51d5221b3aab8d6436913775e094ee480b4ed8cf4ddbe281b8f4d53dbd3,feefbb746007dac86cf6d932ecdb85ee5f18718b39d0d8fd8e79e9f365fc36ce
