dbi_id,identifier_hash,subject_name,subject_type,proposed_relationship_entity_id,proposed_entity_name,first_year,last_year,return_count,return_types,drake_return_ids,tax_years,source_contact_ids,source_record_ids,source_contact_count,provenance_form,complete_coverage,document_corroboration_count,document_year,document_type,contemporaneous_with_filing,identifier_entity_document_match,expected_esl_inserts,expected_trust_level,expected_confirmation_source,expected_evidence_method,dbi_row_sha256,target_entity_sha256,evidence_review_artifact_sha256
523,0a33a28011ebd8e378ca8ac92c7066e482b5681856aceee283fc31e1ae6d0759,henry tobacco inc,business_entity,156,Henry Tobacco Inc,2021,2021,1,1120S,1145,2021,8710,2021:1145:taxpayer,1,details.source_contact_ids,True,2,2020,filed tax return package (Form 1120S),no,True,1,identifier_verified,machine,drake_entity_provenance,ee193b678607caab33be3cac1df603bcd1a783a6c9050ceb31dc2bb06fdb7ba1,f958956eacda94c0f78f7b6dd6d2e2a061946371b9b2f61438e0480538c14610,73925d10bfb3b91a66785176367f349f2dd858ba520481da2eb9ec8b3eff8cc0
541,31a4ffb3b7f17e1119aeea89e5b990c13fcc2026c793c21b60c0f327dfa9d86b,durga shakti llc,business_entity,149,DURGA SHAKTI LLC,2021,2021,1,1120S,1148,2021,8713,2021:1148:taxpayer,1,details.source_contact_ids,True,9,2021,e-file authorisation (Form 8879 / VA-8879P),yes,True,1,identifier_verified,machine,drake_entity_provenance,5c9adde9ddb73306e9987051ab80bbe18c9e5550c99c31be0db5ac8cacfa74cd,c20df61d7f17ba1b03f660ab808b25fc7391099a7e3bdb23c847d470d9c97a15,73925d10bfb3b91a66785176367f349f2dd858ba520481da2eb9ec8b3eff8cc0
562,5dd2f4d20ebe3d5603b432816e167a4960716bdb26c5a5bd7f9cd2d5afc4b544,a shear experience inc,business_entity,157,A SHEAR EXPERIENCE INC,2021,2021,1,1120S,1005,2021,8492,2021:1005:taxpayer,1,details.source_contact_ids,True,2,,Form W-2 (employer identifier),no,True,1,identifier_verified,machine,drake_entity_provenance,de943020d8fce009f7b6363e13bc1a32db7ddfc0c84616d7ffbfbebe61efae15,99e746382dccb5368a582aa477591358bb9b49bba7551563dd6f8661d88c3240,73925d10bfb3b91a66785176367f349f2dd858ba520481da2eb9ec8b3eff8cc0
582,91436d0815d1f8fc033c0cfe1cdf3c8c091fc05981b28f37352b907df0056313,precision windows and doors inc,business_entity,150,PRECISION WINDOWS AND DOORS INC,2021,2021,1,1120S,670,2021,7973,2021:670:taxpayer,1,details.source_contact_ids,True,2,2020,filed tax return package (Form 1120S),no,True,1,identifier_verified,machine,drake_entity_provenance,7278962ff0727ebd95c1552eb608d6a0372fb493de18a6557560305f0295991e,69567ffa6d3b33d1b6462bbb87803b93bed6de65b54483d9b3e1efc7a80151d6,73925d10bfb3b91a66785176367f349f2dd858ba520481da2eb9ec8b3eff8cc0
619,d9cd2ba4fe9bf56e5607a8f3aaafa9d223a1990d5cda1ee9e66b0fcd602e227d,akash inc,business_entity,154,AKASH INC,2021,2021,1,1120S,657,2021,7953,2021:657:taxpayer,1,details.source_contact_ids,True,4,2018,filed tax return package (Form 1120S),no,True,1,identifier_verified,machine,drake_entity_provenance,9572bab26c80d8347788da9d643dfd675ed8825e8117d766880f1e55ea6690e4,77fadad435ed1d18d77f14cc260af1ca09414ca8bea514c1b1c39bdcd2b604f5,73925d10bfb3b91a66785176367f349f2dd858ba520481da2eb9ec8b3eff8cc0
624,dfac4452a7c84454a3d958ed982989f150a71dc555cbba2834a12f6e4fd2433f,td&k enterprises inc,business_entity,148,TD&K ENTERPRISES INC,2021,2021,1,1120S,714,2021,8040,2021:714:taxpayer,1,details.source_contact_ids,True,5,2021,e-file authorisation (Form 8879 / VA-8879P),yes,True,1,identifier_verified,machine,drake_entity_provenance,320f33cd2766b429e880e621505f9e7f6ebf54b6cc206baefacfb6639fb2635b,f9beffc144f0ba27986bfb5256c87d4e1576159884a4a7080af0fd40dcc6d7dc,73925d10bfb3b91a66785176367f349f2dd858ba520481da2eb9ec8b3eff8cc0
635,f9984a58d220285c57525be0dc4bd6b57f2f57ea00f42c661124534aaab8a9b8,ghfn property inc,business_entity,151,GHFN PROPERTY INC,2021,2021,1,1120S,771,2021,8126,2021:771:taxpayer,1,details.source_contact_ids,True,8,2020,filed tax return package (Form 1120S),no,True,1,identifier_verified,machine,drake_entity_provenance,0f97809bfabeaf5236e42c4e7e212b453e1c73f222f68b363a77b1bcf09950e1,b60ffe547e2e0237231ce5cd1ec9efa313d3b3ad2f357f4d82d5b650bea23ca0,73925d10bfb3b91a66785176367f349f2dd858ba520481da2eb9ec8b3eff8cc0
